地域コード(文字列型),地域コード(数値型),地方,都道府県,地域,緯度,経度
900,900,未設定,,地域未設定,,
901,901,不明,,地域不明,,
905,905,外国,,日本以外,,
010,10,北海道,北海道,北海道 石狩,43.062,141.354
015,15,北海道,北海道,北海道 渡島,41.820,140.753
020,20,北海道,北海道,北海道 檜山,41.859,140.128
025,25,北海道,北海道,北海道 後志,42.902,140.756
030,30,北海道,北海道,北海道 空知,43.198,141.767
035,35,北海道,北海道,北海道 上川,43.808,142.439
040,40,北海道,北海道,北海道 留萌,43.935,141.656
045,45,北海道,北海道,北海道 宗谷,45.398,141.700
050,50,北海道,北海道,北海道 網走,44.027,144.261
055,55,北海道,北海道,北海道 胆振,42.321,140.972
060,60,北海道,北海道,北海道 日高,42.173,142.768
065,65,北海道,北海道,北海道 十勝,42.930,143.208
070,70,北海道,北海道,北海道 釧路,42.977,144.345
075,75,北海道,北海道,北海道 根室,43.330,145.585
100,100,東北,青森,青森津軽,40.759,140.428
105,105,東北,青森,青森三八上北,40.610,141.325
106,106,東北,青森,青森下北,41.293,141.183
110,110,東北,岩手,岩手沿岸北部,39.843,141.796
111,111,東北,岩手,岩手沿岸南部,39.082,141.709
115,115,東北,岩手,岩手内陸,39.702,141.154
120,120,東北,宮城,宮城北部,38.540,141.128
125,125,東北,宮城,宮城南部,38.172,140.892
130,130,東北,秋田,秋田沿岸,39.720,140.104
135,135,東北,秋田,秋田内陸,39.700,140.731
140,140,東北,山形,山形庄内,38.727,139.827
141,141,東北,山形,山形最上,38.765,140.302
142,142,東北,山形,山形村山,38.255,140.340
143,143,東北,山形,山形置賜,37.922,140.117
150,150,東北,福島,福島中通り,37.401,140.360
151,151,東北,福島,福島浜通り,37.449,141.013
152,152,東北,福島,福島会津,37.460,139.841
200,200,関東,茨城,茨城北部,36.457,140.486
205,205,関東,茨城,茨城南部,36.083,140.076
210,210,関東,栃木,栃木北部,36.961,140.046
215,215,関東,栃木,栃木南部,36.426,139.803
220,220,関東,群馬,群馬北部,36.678,138.999
225,225,関東,群馬,群馬南部,36.389,139.063
230,230,関東,埼玉,埼玉北部,36.147,139.388
231,231,関東,埼玉,埼玉南部,35.925,139.485
232,232,関東,埼玉,埼玉秩父,35.991,139.085
240,240,関東,千葉,千葉北東部,35.707,140.564
241,241,関東,千葉,千葉北西部,35.607,140.106
242,242,関東,千葉,千葉南部,35.330,139.902
250,250,関東,東京,東京,35.699,139.502
255,255,関東,東京,伊豆諸島北部,34.377,139.257
260,260,関東,東京,伊豆諸島南部,34.075,139.479
265,265,関東,東京,小笠原,27.094,142.191
270,270,関東,神奈川,神奈川東部,35.443,139.638
275,275,関東,神奈川,神奈川西部,35.348,139.139
300,300,北陸,新潟,新潟上越,37.147,138.236
301,301,北陸,新潟,新潟中越,37.446,138.851
302,302,北陸,新潟,新潟下越,37.948,139.327
305,305,北陸,新潟,新潟佐渡,38.018,138.368
310,310,北陸,富山,富山東部,36.827,137.409
315,315,北陸,富山,富山西部,36.647,136.962
320,320,北陸,石川,石川能登,37.390,136.899
325,325,北陸,石川,石川加賀,36.561,136.656
330,330,北陸,福井,福井嶺北,35.956,136.184
335,335,北陸,福井,福井嶺南,35.461,135.857
340,340,甲信,山梨,山梨東部,35.551,138.905
345,345,甲信,山梨,山梨中・西部,35.608,138.464
350,350,甲信,長野,長野北部,36.648,138.194
351,351,甲信,長野,長野中部,36.238,137.972
355,355,甲信,長野,長野南部,35.551,137.878
400,400,東海,岐阜,岐阜飛騨,36.146,137.252
405,405,東海,岐阜,岐阜美濃,35.544,136.907
410,410,東海,静岡,静岡伊豆,34.976,138.946
411,411,東海,静岡,静岡東部,35.161,138.676
415,415,東海,静岡,静岡中部,34.867,138.257
416,416,東海,静岡,静岡西部,34.717,137.851
420,420,東海,愛知,愛知東部,34.898,137.497
425,425,東海,愛知,愛知西部,35.053,137.012
430,430,東海,三重,三重北中部,34.881,136.584
435,435,東海,三重,三重南部,34.211,136.337
440,440,近畿,滋賀,滋賀北部,35.380,136.278
445,445,近畿,滋賀,滋賀南部,35.067,136.025
450,450,近畿,京都,京都北部,35.474,135.385
455,455,近畿,京都,京都南部,35.011,135.768
460,460,近畿,大阪,大阪北部,34.816,135.568
465,465,近畿,大阪,大阪南部,34.483,135.423
470,470,近畿,兵庫,兵庫北部,35.544,134.820
475,475,近畿,兵庫,兵庫南部,34.853,134.931
480,480,近畿,奈良,奈良,34.396,135.857
490,490,近畿,和歌山,和歌山北部,34.065,135.254
495,495,近畿,和歌山,和歌山南部,33.678,135.348
500,500,中国,鳥取,鳥取東部,35.501,134.235
505,505,中国,鳥取,鳥取中・西部,35.495,133.693
510,510,中国,島根,島根東部,35.367,132.754
515,515,中国,島根,島根西部,34.899,132.079
514,514,中国,島根,島根隠岐,36.209,133.321
520,520,中国,岡山,岡山北部,35.069,134.004
525,525,中国,岡山,岡山南部,34.655,133.919
530,530,中国,広島,広島北部,34.666,132.704
535,535,中国,広島,広島南部,34.341,132.907
540,540,中国,山口,山口北部,34.408,131.399
545,545,中国,山口,山口中・東部,34.050,131.804
541,541,中国,山口,山口西部,33.957,130.941
550,550,四国,徳島,徳島北部,34.025,134.259
555,555,四国,徳島,徳島南部,33.734,134.535
560,560,四国,香川,香川,34.342,134.046
570,570,四国,愛媛,愛媛東予,33.919,133.181
575,575,四国,愛媛,愛媛中予,33.839,132.765
576,576,四国,愛媛,愛媛南予,33.362,132.510
580,580,四国,高知,高知東部,33.424,134.020
581,581,四国,高知,高知中部,33.559,133.529
582,582,四国,高知,高知西部,32.991,132.933
600,600,九州北,福岡,福岡福岡,33.590,130.401
601,601,九州北,福岡,福岡北九州,33.883,130.875
602,602,九州北,福岡,福岡筑豊,33.646,130.691
605,605,九州北,福岡,福岡筑後,33.319,130.508
610,610,九州北,佐賀,佐賀北部,33.450,129.968
615,615,九州北,佐賀,佐賀南部,33.181,130.143
620,620,九州北,長崎,長崎北部,33.179,129.715
625,625,九州北,長崎,長崎南部,32.843,130.053
630,630,九州北,長崎,長崎壱岐・対馬,34.202,129.287
635,635,九州北,長崎,長崎五島,32.695,128.840
640,640,九州北,熊本,熊本阿蘇,32.951,131.120
641,641,九州北,熊本,熊本熊本,32.803,130.707
645,645,九州北,熊本,熊本球磨,32.240,130.897
646,646,九州北,熊本,熊本天草・芦北,32.233,130.439
650,650,九州北,大分,大分北部,33.531,131.349
651,651,九州北,大分,大分中部,33.239,131.609
655,655,九州北,大分,大分西部,33.228,131.188
656,656,九州北,大分,大分南部,32.959,131.900
660,660,九州南,宮崎,宮崎北部平野部,32.422,131.624
661,661,九州南,宮崎,宮崎北部山沿い,32.467,131.158
665,665,九州南,宮崎,宮崎南部平野部,31.601,131.378
666,666,九州南,宮崎,宮崎南部山沿い,31.928,131.007
670,670,九州南,鹿児島,鹿児島薩摩,31.813,130.304
675,675,九州南,鹿児島,鹿児島大隅,31.378,130.852
680,680,九州南,鹿児島,種子島・屋久島,30.732,130.996
685,685,九州南,鹿児島,鹿児島奄美,28.377,129.493
700,700,沖縄,沖縄,沖縄本島北部,26.591,127.977
701,701,沖縄,沖縄,沖縄本島中南部,26.281,127.778
702,702,沖縄,沖縄,沖縄久米島,26.349,126.747
705,705,沖縄,沖縄,沖縄八重山,24.286,123.881
706,706,沖縄,沖縄,沖縄宮古島,24.805,125.281
710,710,沖縄,沖縄,沖縄大東島,25.828,131.232
950,950,EEW,,緊急地震速報 配信試験(β),,
951,951,EEW,,緊急地震速報 配信試験(β) テスト配信,,
952,952,EEW,,緊急地震速報（警報）,,
953,953,EEW,,緊急地震速報（警報） テスト配信,,
954,954,EEW,,緊急地震速報（警報） 取消,,
955,955,EEW,,緊急地震速報（警報） 続報フラグ,,
160,160,EEW 府県予報区,,北海道道央,,
161,161,EEW 府県予報区,,北海道道南,,
162,162,EEW 府県予報区,,北海道道北,,
163,163,EEW 府県予報区,,北海道道東,,
164,164,EEW 府県予報区,,青森,,
165,165,EEW 府県予報区,,岩手,,
166,166,EEW 府県予報区,,宮城,,
167,167,EEW 府県予報区,,秋田,,
168,168,EEW 府県予報区,,山形,,
169,169,EEW 府県予報区,,福島,,
170,170,EEW 府県予報区,,茨城,,
171,171,EEW 府県予報区,,栃木,,
172,172,EEW 府県予報区,,群馬,,
173,173,EEW 府県予報区,,埼玉,,
174,174,EEW 府県予報区,,千葉,,
175,175,EEW 府県予報区,,東京,,
176,176,EEW 府県予報区,,伊豆諸島,,
177,177,EEW 府県予報区,,小笠原,,
178,178,EEW 府県予報区,,神奈川,,
179,179,EEW 府県予報区,,新潟,,
180,180,EEW 府県予報区,,富山,,
181,181,EEW 府県予報区,,石川,,
182,182,EEW 府県予報区,,福井,,
183,183,EEW 府県予報区,,山梨,,
184,184,EEW 府県予報区,,長野,,
185,185,EEW 府県予報区,,岐阜,,
186,186,EEW 府県予報区,,静岡,,
187,187,EEW 府県予報区,,愛知,,
188,188,EEW 府県予報区,,三重,,
189,189,EEW 府県予報区,,滋賀,,
190,190,EEW 府県予報区,,京都,,
191,191,EEW 府県予報区,,大阪,,
192,192,EEW 府県予報区,,兵庫,,
193,193,EEW 府県予報区,,奈良,,
194,194,EEW 府県予報区,,和歌山,,
195,195,EEW 府県予報区,,鳥取,,
196,196,EEW 府県予報区,,島根,,
197,197,EEW 府県予報区,,岡山,,
198,198,EEW 府県予報区,,広島,,
199,199,EEW 府県予報区,,徳島,,
360,360,EEW 府県予報区,,香川,,
361,361,EEW 府県予報区,,愛媛,,
362,362,EEW 府県予報区,,高知,,
363,363,EEW 府県予報区,,山口,,
364,364,EEW 府県予報区,,福岡,,
365,365,EEW 府県予報区,,佐賀,,
366,366,EEW 府県予報区,,長崎,,
367,367,EEW 府県予報区,,熊本,,
368,368,EEW 府県予報区,,大分,,
369,369,EEW 府県予報区,,宮崎,,
370,370,EEW 府県予報区,,鹿児島,,
371,371,EEW 府県予報区,,奄美(群島),,
372,372,EEW 府県予報区,,沖縄本島,,
373,373,EEW 府県予報区,,大東島,,
374,374,EEW 府県予報区,,宮古島,,
375,375,EEW 府県予報区,,八重山,,
721,721,EEW 短縮用震央地名,,北海道道央,,
722,722,EEW 短縮用震央地名,,北海道道南,,
723,723,EEW 短縮用震央地名,,北海道道北,,
724,724,EEW 短縮用震央地名,,北海道道東,,
725,725,EEW 短縮用震央地名,,北海道南西沖,,
726,726,EEW 短縮用震央地名,,北海道西方沖,,
727,727,EEW 短縮用震央地名,,石狩湾,,
728,728,EEW 短縮用震央地名,,北海道北西沖,,
729,729,EEW 短縮用震央地名,,宗谷海峡,,
730,730,EEW 短縮用震央地名,,国後島付近,,
731,731,EEW 短縮用震央地名,,択捉島付近,,
732,732,EEW 短縮用震央地名,,北海道東方沖,,
733,733,EEW 短縮用震央地名,,根室半島沖,,
734,734,EEW 短縮用震央地名,,釧路沖,,
735,735,EEW 短縮用震央地名,,十勝沖,,
736,736,EEW 短縮用震央地名,,浦河沖,,
737,737,EEW 短縮用震央地名,,苫小牧沖,,
738,738,EEW 短縮用震央地名,,内浦湾,,
739,739,EEW 短縮用震央地名,,宗谷東方沖,,
740,740,EEW 短縮用震央地名,,網走沖,,
741,741,EEW 短縮用震央地名,,択捉島南東沖,,
742,742,EEW 短縮用震央地名,,青森県,,
743,743,EEW 短縮用震央地名,,岩手県,,
744,744,EEW 短縮用震央地名,,宮城県,,
745,745,EEW 短縮用震央地名,,秋田県,,
746,746,EEW 短縮用震央地名,,山形県,,
747,747,EEW 短縮用震央地名,,福島県,,
748,748,EEW 短縮用震央地名,,津軽海峡,,
749,749,EEW 短縮用震央地名,,山形沖,,
750,750,EEW 短縮用震央地名,,秋田沖,,
751,751,EEW 短縮用震央地名,,青森西方沖,,
752,752,EEW 短縮用震央地名,,陸奥湾,,
753,753,EEW 短縮用震央地名,,青森東方沖,,
754,754,EEW 短縮用震央地名,,岩手沖,,
755,755,EEW 短縮用震央地名,,宮城沖,,
756,756,EEW 短縮用震央地名,,三陸沖,,
757,757,EEW 短縮用震央地名,,福島沖,,
758,758,EEW 短縮用震央地名,,茨城県,,
759,759,EEW 短縮用震央地名,,千葉南東沖,,
760,760,EEW 短縮用震央地名,,栃木県,,
761,761,EEW 短縮用震央地名,,群馬県,,
762,762,EEW 短縮用震央地名,,埼玉県,,
763,763,EEW 短縮用震央地名,,千葉県,,
764,764,EEW 短縮用震央地名,,千葉南方沖,,
765,765,EEW 短縮用震央地名,,東京,,
766,766,EEW 短縮用震央地名,,神奈川県,,
767,767,EEW 短縮用震央地名,,新潟県,,
768,768,EEW 短縮用震央地名,,新潟沖,,
769,769,EEW 短縮用震央地名,,富山県,,
770,770,EEW 短縮用震央地名,,石川県,,
771,771,EEW 短縮用震央地名,,福井県,,
772,772,EEW 短縮用震央地名,,山梨県,,
773,773,EEW 短縮用震央地名,,長野県,,
774,774,EEW 短縮用震央地名,,岐阜県,,
775,775,EEW 短縮用震央地名,,静岡県,,
776,776,EEW 短縮用震央地名,,愛知県,,
777,777,EEW 短縮用震央地名,,三重県,,
778,778,EEW 短縮用震央地名,,三重南東沖,,
779,779,EEW 短縮用震央地名,,茨城沖,,
780,780,EEW 短縮用震央地名,,関東東方沖,,
781,781,EEW 短縮用震央地名,,千葉東方沖,,
782,782,EEW 短縮用震央地名,,関東南方沖,,
783,783,EEW 短縮用震央地名,,伊豆諸島近海,,
784,784,EEW 短縮用震央地名,,東京湾,,
785,785,EEW 短縮用震央地名,,相模湾,,
786,786,EEW 短縮用震央地名,,伊豆東方沖,,
787,787,EEW 短縮用震央地名,,静岡沖,,
788,788,EEW 短縮用震央地名,,三河湾,,
789,789,EEW 短縮用震央地名,,伊勢湾,,
790,790,EEW 短縮用震央地名,,若狭湾,,
791,791,EEW 短縮用震央地名,,福井沖,,
792,792,EEW 短縮用震央地名,,石川西方沖,,
793,793,EEW 短縮用震央地名,,能登半島沖,,
794,794,EEW 短縮用震央地名,,富山湾,,
795,795,EEW 短縮用震央地名,,佐渡付近,,
796,796,EEW 短縮用震央地名,,東海道沖,,
797,797,EEW 短縮用震央地名,,滋賀県,,
798,798,EEW 短縮用震央地名,,京都府,,
799,799,EEW 短縮用震央地名,,大阪府,,
800,800,EEW 短縮用震央地名,,兵庫県,,
801,801,EEW 短縮用震央地名,,奈良県,,
802,802,EEW 短縮用震央地名,,和歌山県,,
803,803,EEW 短縮用震央地名,,鳥取県,,
804,804,EEW 短縮用震央地名,,島根県,,
805,805,EEW 短縮用震央地名,,岡山県,,
806,806,EEW 短縮用震央地名,,広島県,,
807,807,EEW 短縮用震央地名,,徳島県,,
808,808,EEW 短縮用震央地名,,香川県,,
809,809,EEW 短縮用震央地名,,愛媛県,,
810,810,EEW 短縮用震央地名,,高知県,,
811,811,EEW 短縮用震央地名,,土佐湾,,
812,812,EEW 短縮用震央地名,,紀伊水道,,
813,813,EEW 短縮用震央地名,,大阪湾,,
814,814,EEW 短縮用震央地名,,播磨灘,,
815,815,EEW 短縮用震央地名,,瀬戸内海,,
816,816,EEW 短縮用震央地名,,安芸灘,,
817,817,EEW 短縮用震央地名,,周防灘,,
818,818,EEW 短縮用震央地名,,伊予灘,,
819,819,EEW 短縮用震央地名,,豊後水道,,
820,820,EEW 短縮用震央地名,,山口北西沖,,
821,821,EEW 短縮用震央地名,,島根沖,,
822,822,EEW 短縮用震央地名,,鳥取沖,,
823,823,EEW 短縮用震央地名,,隠岐島近海,,
824,824,EEW 短縮用震央地名,,兵庫北方沖,,
825,825,EEW 短縮用震央地名,,京都沖,,
826,826,EEW 短縮用震央地名,,淡路島付近,,
827,827,EEW 短縮用震央地名,,和歌山沖,,
828,828,EEW 短縮用震央地名,,山口県,,
829,829,EEW 短縮用震央地名,,福岡県,,
830,830,EEW 短縮用震央地名,,佐賀県,,
831,831,EEW 短縮用震央地名,,長崎県,,
832,832,EEW 短縮用震央地名,,熊本県,,
833,833,EEW 短縮用震央地名,,大分県,,
834,834,EEW 短縮用震央地名,,宮崎県,,
835,835,EEW 短縮用震央地名,,鹿児島県,,
836,836,EEW 短縮用震央地名,,五島列島近海,,
837,837,EEW 短縮用震央地名,,天草灘,,
838,838,EEW 短縮用震央地名,,有明海,,
839,839,EEW 短縮用震央地名,,橘湾,,
840,840,EEW 短縮用震央地名,,鹿児島湾,,
841,841,EEW 短縮用震央地名,,種子島近海,,
842,842,EEW 短縮用震央地名,,日向灘,,
843,843,EEW 短縮用震央地名,,奄美大島近海,,
844,844,EEW 短縮用震央地名,,対馬近海,,
845,845,EEW 短縮用震央地名,,福岡北西沖,,
846,846,EEW 短縮用震央地名,,鹿児島西方沖,,
847,847,EEW 短縮用震央地名,,薩南諸島近海,,
848,848,EEW 短縮用震央地名,,鹿児島東方沖,,
849,849,EEW 短縮用震央地名,,九州南東沖,,
850,850,EEW 短縮用震央地名,,沖縄本島近海,,
851,851,EEW 短縮用震央地名,,南大東島近海,,
852,852,EEW 短縮用震央地名,,沖縄南方沖,,
853,853,EEW 短縮用震央地名,,宮古島近海,,
854,854,EEW 短縮用震央地名,,石垣島近海,,
855,855,EEW 短縮用震央地名,,石垣島南方沖,,
856,856,EEW 短縮用震央地名,,西表島付近,,
857,857,EEW 短縮用震央地名,,与那国島近海,,
858,858,EEW 短縮用震央地名,,宮古島北西沖,,
859,859,EEW 短縮用震央地名,,石垣島北西沖,,
860,860,EEW 短縮用震央地名,,台湾付近,,
861,861,EEW 短縮用震央地名,,東シナ海,,
862,862,EEW 短縮用震央地名,,四国沖,,
863,863,EEW 短縮用震央地名,,鳥島近海,,
864,864,EEW 短縮用震央地名,,鳥島東方沖,,
865,865,EEW 短縮用震央地名,,オホーツク海,,
866,866,EEW 短縮用震央地名,,サハリン付近,,
867,867,EEW 短縮用震央地名,,日本海北部,,
868,868,EEW 短縮用震央地名,,日本海中部,,
869,869,EEW 短縮用震央地名,,日本海西部,,
870,870,EEW 短縮用震央地名,,父島近海,,
871,871,EEW 短縮用震央地名,,南海道南方沖,,
872,872,EEW 短縮用震央地名,,サハリン南部,,
873,873,EEW 短縮用震央地名,,朝鮮半島南部,,
874,874,EEW 短縮用震央地名,,千島列島,,
875,875,EEW 短縮用震央地名,,千島海溝付近,,
876,876,EEW 短縮用震央地名,,北海道南東沖,,
877,877,EEW 短縮用震央地名,,硫黄島近海,,
878,878,EEW 短縮用震央地名,,本州南方沖,,
879,879,EEW 短縮用震央地名,,北西太平洋,,
880,880,EEW 短縮用震央地名,,マリアナ諸島,,
881,881,EEW 短縮用震央地名,,黄海,,
882,882,EEW 短縮用震央地名,,朝鮮半島北部,,
883,883,EEW 短縮用震央地名,,中国東北部,,
884,884,EEW 短縮用震央地名,,シベリア南部,,
885,885,EEW 短縮用震央地名,,フィリピン北,,
886,886,EEW 短縮用震央地名,,中国東部,,
